id,word,category,offensiveness_level,language
1,මෝඩ,insult,medium,si
2,පිස්සු,insult,medium,si
3,ගොන්,insult,medium,si
4,බූරු,insult,medium,si
5,කුණු,insult,medium,si
6,නරක,insult,medium,si
7,කපටි,insult,medium,si
8,බොරුව,insult,medium,si
9,නාස්ති,insult,medium,si
10,දුෂ්ට,insult,medium,si
11,හිස්,insult,medium,si
12,ලජ්ජා නැති,insult,medium,si
13,අගය නැති,insult,medium,si
14,වැඩක් නැති,insult,medium,si
15,අසාර්ථක,insult,medium,si
16,දුර්වල,insult,medium,si
17,කම්මැලි,insult,medium,si
18,අසභ්‍ය,insult,medium,si
19,නින්දා,insult,medium,si
20,අගෞරව,insult,medium,si
21,අකල්පනා,insult,medium,si
22,අවුල්,insult,medium,si
23,ගැටලු,insult,medium,si
24,අසත්‍ය,insult,medium,si
25,මෝඩ මිනිහා,behavior,medium,si
26,මෝඩ කෙනා,insult,medium,si
27,මෝඩ යා,behavior,high,si
28,මෝඩ මනුස්සයා,insult,low,si
29,මෝඩ චරිතය,behavior,low,si
30,මෝඩ කට,abuse,medium,si
31,මෝඩ කතා,insult,medium,si
32,මෝඩ වැඩ,insult,high,si
33,මෝඩ හැසිරීම,behavior,high,si
34,මෝඩ අදහස්,abuse,high,si
35,මෝඩ මොළේ,aggression,low,si
36,මෝඩ මනස,insult,medium,si
37,මෝඩ ප්‍රකාශ,aggression,high,si
38,මෝඩ වචන,aggression,high,si
39,මෝඩ කම,character_attack,low,si
40,මෝඩ ජීවිතය,character_attack,low,si
41,මෝඩ පුරුද්ද,insult,low,si
42,මෝඩ විදිහ,character_attack,high,si
43,මෝඩ ආකාරය,insult,high,si
44,මෝඩ හැටි,behavior,high,si
45,පිස්සු මිනිහා,aggression,medium,si
46,පිස්සු කෙනා,character_attack,medium,si
47,පිස්සු යා,character_attack,medium,si
48,පිස්සු මනුස්සයා,aggression,low,si
49,පිස්සු චරිතය,character_attack,medium,si
50,පිස්සු කට,behavior,low,si
51,පිස්සු කතා,insult,low,si
52,පිස්සු වැඩ,insult,low,si
53,පිස්සු හැසිරීම,character_attack,high,si
54,පිස්සු අදහස්,character_attack,low,si
55,පිස්සු මොළේ,insult,high,si
56,පිස්සු මනස,character_attack,medium,si
57,පිස්සු ප්‍රකාශ,aggression,medium,si
58,පිස්සු වචන,behavior,high,si
59,පිස්සු කම,abuse,medium,si
60,පිස්සු ජීවිතය,abuse,medium,si
61,පිස්සු පුරුද්ද,character_attack,low,si
62,පිස්සු විදිහ,abuse,medium,si
63,පිස්සු ආකාරය,insult,medium,si
64,පිස්සු හැටි,insult,medium,si
65,ගොන් මිනිහා,behavior,medium,si
66,ගොන් කෙනා,abuse,low,si
67,ගොන් යා,insult,medium,si
68,ගොන් මනුස්සයා,behavior,medium,si
