post_id,text,tokens,rationales,label,offensive_words,text_length,off_word_count,stereotype
995411387894542336,තේ නෙවෙයි තෝ බීලා ඉන්නෙ ගිනි වතුර,"['තේ', 'නෙවෙයි', 'තෝ', 'බීලා', 'ඉන්නෙ', 'ගිනි', 'වතුර']",[],NOT,[],33,0,
1128238706303864832,@USER තුනක් ඕනේ නෑ එකක් ගැහුවනම් ඇති ලංකාවට ආපු ගමන් ඉල්ලා අස් වෙනවා කියලා,"['@USER', 'තුනක්', 'ඕනේ', 'නෑ', 'එකක්', 'ගැහුවනම්', 'ඇති', 'ලංකාවට', 'ආපු', 'ගමන්', 'ඉල්ලා', 'අස්', 'වෙනවා', 'කියලා']",[],NOT,[],74,0,
1290554471714496514,"@USER ,  @USER  @USER ටහුඩු ඒකි තනියම ජීවත් වෙන්න වෙරදරන එක්කෙනෙක් වෙන්න ඇති","['@USER', ',', '@USER', '@USER', 'ටහුඩු', 'ඒකි', 'තනියම', 'ජීවත්', 'වෙන්න', 'වෙරදරන', 'එක්කෙනෙක්', 'වෙන්න', 'ඇති']",[],NOT,[],76,0,
909459929446182913,@USER මර්විනුත් මුද්දරයක් වෙයිද දන්නේ නැ,"['@USER', 'මර්විනුත්', 'මුද්දරයක්', 'වෙයිද', 'දන්නේ', 'නැ']",[],NOT,[],40,0,
1305480579375198208,@USER ගොසිප් පීපල් නෙමේ හුත්තො. තෝ වගේ හොරෙක්ට මේකෙ ආයෙ දඩයං හොයන්න දෙන්නෑ. එච්චරයි,"['@USER', 'ගොසිප්', 'පීපල්', 'නෙමේ', 'හුත්තො', '.', 'තෝ', 'වගේ', 'හොරෙක්ට', 'මේකෙ', 'ආයෙ', 'දඩයං', 'හොයන්න', 'දෙන්නෑ', '.', 'එච්චරයි']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"['හුත්තො', 'තෝ']",83,2,
1223789724063522816,අපිට නම් පෙන්නන්න තියෙන්නේ මේ ගල තමා! සුදු නෑ රතුයි!   ගුඩ් මෝනින් ෆ්‍රෙන්ස්!,"['අපිට', 'නම්', 'පෙන්නන්න', 'තියෙන්නේ', 'මේ', 'ගල', 'තමා', '!', 'සුදු', 'නෑ', 'රතුයි', '!', 'ගුඩ්', 'මෝනින්', 'ෆ්\u200dරෙන්ස්', '!']",[],NOT,[],77,0,
1093017029282594816,කේන්තියෙන්ම මං ඔයාගේ තාත්තට මෝඩයා කියල බැන්නා. තාත්තට පුදුමයි .. එයා ඇහුව ඔයා කොහොමද මට එහෙම කතා කරේ කියල. මං කේන්තියෙන් පිපිරී පිපිරී තව හයියෙන් කෑගැහුවා. මොඩයා බූරුවා ගොනා පිස්සා.. ඔය වගේ හැම වචනයක්ම. ඔයා හිතන්නේ එයා මොනව කලා කියලද ...,"['කේන්තියෙන්ම', 'මං', 'ඔයාගේ', 'තාත්තට', 'මෝඩයා', 'කියල', 'බැන්නා', '.', 'තාත්තට', 'පුදුමයි', '.', '.', 'එයා', 'ඇහුව', 'ඔයා', 'කොහොමද', 'මට', 'එහෙම', 'කතා', 'කරේ', 'කියල', '.', 'මං', 'කේන්තියෙන්', 'පිපිරී', 'පිපිරී', 'තව', 'හයියෙන්', 'කෑගැහුවා', '.', 'මොඩයා', 'බූරුවා', 'ගොනා', 'පිස්සා', '.', '.', 'ඔය', 'වගේ', 'හැම', 'වචනයක්ම', '.', 'ඔයා', 'හිතන්නේ', 'එයා', 'මොනව', 'කලා', 'කියලද', '.', '.', '.']",[],NOT,[],237,0,
1334127010998755328,@USER ගොඩක් අයට මේක දකිනකොට රිදෙනව ඇයිද දන්නෑ,"['@USER', 'ගොඩක්', 'අයට', 'මේක', 'දකිනකොට', 'රිදෙනව', 'ඇයිද', 'දන්නෑ']",[],NOT,[],45,0,
1061972515759763456,"අපෙ අක්කා ගෙදර ඇවිත් මොකාක් හරි කුජීත කතාවක් කිවුවා.  ඊට පස්සෙ ""තමුසෙ දැන් ඕක ෆේස්බුක් දානවා එහෙම නෙමෙයි""  ප:ලි - ෂැක්. කතාව මතක නෑනේ","['අපෙ', 'අක්කා', 'ගෙදර', 'ඇවිත්', 'මොකාක්', 'හරි', 'කුජීත', 'කතාවක්', 'කිවුවා', '.', 'ඊට', 'පස්සෙ', '""', 'තමුසෙ', 'දැන්', 'ඕක', 'ෆේස්බුක්', 'දානවා', 'එහෙම', 'නෙමෙයි', '""', 'ප', ':', 'ලි', '-', 'ෂැක්', '.', 'කතාව', 'මතක', 'නෑනේ']",[],NOT,[],133,0,
784977776629559296,ඇමතිට හොඳ ගෑණි වීමට නීති විද්‍යාල විදුහල්පතිනි ඉන්දිරා කොතලාවල නීතිවේදීන් බිලි ගනී----  (ලංකා ඊ නිව්ස්... URL,"['ඇමතිට', 'හොඳ', 'ගෑණි', 'වීමට', 'නීති', 'විද්\u200dයාල', 'විදුහල්පතිනි', 'ඉන්දිරා', 'කොතලාවල', 'නීතිවේදීන්', 'බිලි', 'ගනී', '-', '-', '-', '-', '(', 'ලංකා', 'ඊ', 'නිව්ස්', '.', '.', '.', 'URL']",[],NOT,[],109,0,
